'1989-12-05 04:00:00', '+48 197040927', '+48 197673773'
'2021-06-26 00:00:00', '+48 884449409', '+48 588685302'
'2017-11-11 22:00:00', '+48 064740477', '+48 995660018'
'1999-05-24 06:00:00', '+48 912750447', '+48 752616233'
'2014-08-12 02:00:00', '+48 248774474', '+48 712519699'
'2006-10-27 06:00:00', '+48 335213010', '+48 287822807'
'2010-06-24 20:00:00', '+48 221257084', '+48 858087670'
'2007-09-20 15:00:00', '+48 755555800', '+48 582040971'
'2015-04-09 12:00:00', '+48 994127414', '+48 248013065'
'1986-05-17 14:00:00', '+48 842800680', '+48 962275743'
'2000-06-30 04:00:00', '+48 614926905', '+48 532427579'
'2010-03-05 09:00:00', '+48 961635974', '+48 501918049'
'2001-10-15 21:00:00', '+48 946484678', '+48 376640067'
'2003-12-18 04:00:00', '+48 138360154', '+48 355184448'
'2000-10-09 10:00:00', '+48 987407095', '+48 869809593'
'2011-10-06 04:00:00', '+48 972012020', '+48 869918944'
'2009-05-30 09:00:00', '+48 051702115', '+48 896387006'
'2011-02-20 14:00:00', '+48 221914594', '+48 300403491'
'1993-04-06 13:00:00', '+48 015529109', '+48 840127520'
'1989-09-19 16:00:00', '+48 274257174', '+48 376537541'
'2013-09-16 20:00:00', '+48 260739553', '+48 179572513'
'1992-05-16 01:00:00', '+48 345068617', '+48 061778446'
'2002-09-02 23:00:00', '+48 095853475', '+48 274594516'
'1992-12-20 09:00:00', '+48 625283191', '+48 249702721'
'1997-05-25 21:00:00', '+48 592077871', '+48 535029048'
'1992-09-15 02:00:00', '+48 025512452', '+48 489191222'
'1985-05-30 00:00:00', '+48 724778063', '+48 480351061'
'2013-02-09 15:00:00', '+48 341142557', '+48 369176702'
'2002-12-14 05:00:00', '+48 312609292', '+48 591302769'
'2010-09-01 08:00:00', '+48 828928580', '+48 027965297'
'2004-06-12 17:00:00', '+48 503419743', '+48 998370645'
'1996-04-27 19:00:00', '+48 566569751', '+48 268831856'
'2008-03-06 09:00:00', '+48 016380151', '+48 810060728'
'2001-10-10 14:00:00', '+48 430327433', '+48 257244193'
'2001-04-09 00:00:00', '+48 471997227', '+48 735545196'
'2005-12-29 07:00:00', '+48 025277693', '+48 555940207'
'2008-10-27 09:00:00', '+48 666430576', '+48 657270507'
'2005-04-15 15:00:00', '+48 645281505', '+48 597330752'
'2013-06-21 22:00:00', '+48 329058811', '+48 195538236'
'1989-07-01 19:00:00', '+48 969895441', '+48 021321484'
'2015-02-28 08:00:00', '+48 117620372', '+48 783316549'
'1999-07-29 16:00:00', '+48 715273922', '+48 699716918'
'2002-02-23 17:00:00', '+48 970158826', '+48 719508110'
'1986-02-16 01:00:00', '+48 330141465', '+48 261954107'
'2020-05-09 17:00:00', '+48 052091568', '+48 527353743'
'2006-01-11 15:00:00', '+48 257121371', '+48 378909547'
'2007-06-18 19:00:00', '+48 443487548', '+48 064960470'
'1997-10-16 03:00:00', '+48 970214636', '+48 033625906'
'2021-09-03 10:00:00', '+48 449778840', '+48 846409103'
'2011-06-09 05:00:00', '+48 913806161', '+48 591976209'
'1999-03-18 06:00:00', '+48 836022928', '+48 475782576'
'1988-08-31 15:00:00', '+48 768045173', '+48 509107116'
'1984-07-24 04:00:00', '+48 793576058', '+48 420955569'
'1992-04-25 03:00:00', '+48 153392375', '+48 843121636'
'1997-12-28 20:00:00', '+48 572164728', '+48 258721338'
'2009-08-22 21:00:00', '+48 979937442', '+48 272329404'
'1993-05-11 16:00:00', '+48 309825894', '+48 060294419'
'2004-08-20 05:00:00', '+48 598360786', '+48 999293455'
'2021-09-08 03:00:00', '+48 102976148', '+48 373021222'
'1987-04-10 02:00:00', '+48 561015970', '+48 091248162'
'2014-11-22 06:00:00', '+48 529752773', '+48 600236813'
'1993-10-27 00:00:00', '+48 342175540', '+48 870530697'
'1990-06-23 10:00:00', '+48 269776915', '+48 525722080'
'2021-05-16 03:00:00', '+48 239386367', '+48 775792945'
'1992-10-16 09:00:00', '+48 967091443', '+48 755980333'
'2016-09-18 20:00:00', '+48 309753206', '+48 608080031'
'2011-05-21 15:00:00', '+48 730348103', '+48 079413743'
'1999-03-22 03:00:00', '+48 295658358', '+48 735716227'
'1996-10-07 14:00:00', '+48 530854663', '+48 875891822'
'2003-10-29 20:00:00', '+48 968569837', '+48 763082760'
'2019-01-16 12:00:00', '+48 864256399', '+48 206807992'
'1987-04-16 23:00:00', '+48 290242616', '+48 295833439'
'1987-03-16 08:00:00', '+48 230352552', '+48 238245485'
'2009-05-07 06:00:00', '+48 539656235', '+48 315958384'
'1995-08-24 12:00:00', '+48 103515997', '+48 864020734'
'2005-09-14 00:00:00', '+48 616393448', '+48 135728489'
'2008-01-22 08:00:00', '+48 920520350', '+48 546562442'
'1996-11-18 16:00:00', '+48 618125024', '+48 348116206'
'1994-08-27 14:00:00', '+48 810100983', '+48 228239085'
'2005-02-01 05:00:00', '+48 401985326', '+48 447988712'
'2016-06-15 15:00:00', '+48 683924793', '+48 654952622'
'2013-01-23 14:00:00', '+48 179706460', '+48 176709817'
'2012-02-15 23:00:00', '+48 336768026', '+48 397499017'
'1987-02-04 13:00:00', '+48 525688729', '+48 095532379'
'1986-09-01 15:00:00', '+48 417313610', '+48 340960438'
'1996-09-14 14:00:00', '+48 640569408', '+48 111591488'
'2006-12-06 21:00:00', '+48 621617110', '+48 303318207'
'2013-02-02 22:00:00', '+48 301494034', '+48 856881901'
'2003-01-09 05:00:00', '+48 386550256', '+48 051034854'
'2018-08-20 17:00:00', '+48 293494860', '+48 381744069'
'2010-03-03 00:00:00', '+48 655940465', '+48 309319370'
'2002-09-10 00:00:00', '+48 674299733', '+48 390316220'
'1991-12-27 09:00:00', '+48 347776267', '+48 089039561'
'1986-07-15 11:00:00', '+48 747086835', '+48 530327197'
'2007-07-24 09:00:00', '+48 429977397', '+48 872985035'
'2021-05-18 16:00:00', '+48 489676897', '+48 646192698'
'2019-08-15 14:00:00', '+48 590089249', '+48 356467091'
'1996-10-17 11:00:00', '+48 735880823', '+48 529440412'
'1993-05-31 14:00:00', '+48 850515117', '+48 636736620'
'2011-02-14 22:00:00', '+48 074308254', '+48 623387429'
'2004-05-12 06:00:00', '+48 764432297', '+48 463805627'
'2011-06-04 03:00:00', '+48 294253187', '+48 936957822'
'2022-01-09 05:00:00', '+48 620331562', '+48 860710527'
'2014-08-13 14:00:00', '+48 199164974', '+48 040337555'
'2006-11-02 15:00:00', '+48 635229093', '+48 893317384'
'1991-09-10 15:00:00', '+48 870238462', '+48 307005622'
'1998-10-03 22:00:00', '+48 556709906', '+48 131748069'
'2012-11-24 04:00:00', '+48 198407911', '+48 529837181'
'2021-01-19 19:00:00', '+48 477856551', '+48 040483887'
'1993-07-30 22:00:00', '+48 534349382', '+48 888573472'
'1986-02-15 01:00:00', '+48 805196489', '+48 615780334'
'1994-11-12 22:00:00', '+48 025091935', '+48 030159173'
'1993-09-01 10:00:00', '+48 726850232', '+48 399615147'
