'OKAOTS', 'SOBIKU', '+48 701162283'
'XGHR', 'EKYBEAY', '+48 295611830'
'JHGL', 'MLMDGRBY', '+48 372312507'
'FTIQHN', 'JJOXNQC', '+48 311212598'
'QXJKKYA', 'WTIHRQX', '+48 881637422'
'KSZAWHD', 'OGNYCNYC', '+48 850898835'
'AOEQQ', 'SOWIYJ', '+48 639248148'
'JBPRXJU', 'FVYCKUT', '+48 112922019'
'HUFPB', 'DURDBL', '+48 347115597'
'LLRSXIF', 'DYIKNDVZX', '+48 485023230'
'YEUTXAA', 'ZSJWPSHZS', '+48 371949464'
'ZPGGPOO', 'FQEJLD', '+48 862560452'
'TZIGGKQ', 'HOPNQV', '+48 130994073'
'PXEAC', 'HJDGNUWO', '+48 499232560'
'MZCT', 'MWPVPU', '+48 296609078'
'XZHHPQY', 'FOQLLOG', '+48 656158178'
'DDGEESO', 'KZKOCNAWV', '+48 516894831'
'LFWESPF', 'KTMHNKFVL', '+48 099436409'
'IXVX', 'OSTCEZB', '+48 100531879'
'JXEQQCB', 'UNDHXNTME', '+48 545858890'
'PCHLT', 'DZDPDKSXE', '+48 115712865'
'NWALONI', 'HFOTPKW', '+48 893501966'
'KJGEBWJ', 'JGQMDX', '+48 825557172'
'QQXYZIU', 'YHJVOLHHT', '+48 369577796'
'JKFG', 'FUAFOFJ', '+48 009610651'
'VVNJGM', 'YZZKQWJE', '+48 208628806'
'MPLHTGP', 'YSKKOCJ', '+48 378208330'
'GRQCI', 'OZKHLQ', '+48 658789907'
'ENQCP', 'ACKICIGVZ', '+48 355741985'
'SMHRKU', 'MENBETDYQ', '+48 069239060'
'ZEZAW', 'NCPLLLFR', '+48 138830987'
'KIZCRA', 'QRZAPH', '+48 949466846'
'PLVN', 'XEGDCXD', '+48 656884882'
'BOCSU', 'LVKFMO', '+48 334634862'
'ODQL', 'ZNLSJL', '+48 219427934'
'XHMFZ', 'YDUSSG', '+48 397138649'
'GCZL', 'SIXMTNCR', '+48 007995810'
'STOQXQ', 'THMPPWGX', '+48 143699254'
'ZRMDDE', 'SDXCZLQ', '+48 354078582'
'DZIO', 'FZLNZKE', '+48 402608116'
'WWXPAQ', 'YBULCIJLS', '+48 380469075'
'ZGYKO', 'SUUQLY', '+48 290333548'
'JACF', 'XGPNHM', '+48 564762198'
'GUPUW', 'UNEOMBTF', '+48 741208233'
'EMKIMAV', 'SCVXYAP', '+48 098236866'
'PIZKKQF', 'LTSJAIC', '+48 349651527'
'IXTJWA', 'RQUBCYIY', '+48 783025231'
'XZPMTBP', 'YCCMFHTJK', '+48 974921223'
'QUYGY', 'MSJRLCLO', '+48 897953218'
'HJVBOJU', 'NXOZWPK', '+48 694095409'
'LGLAG', 'PEUSGQTVS', '+48 272531614'
'JBBNESJ', 'WIZRCVWB', '+48 111075507'
'QCXKZ', 'ZDCVDLKIF', '+48 661482721'
'IGYNI', 'EZQHLRTUG', '+48 831357731'
'UUNCSM', 'HXGJPKAA', '+48 191033375'
'KOIBFBI', 'MYFTVDB', '+48 806039073'
'ELOOAPE', 'KWSLFJU', '+48 672560610'
'NWLG', 'GLCBFHZW', '+48 606545800'
'PKZEB', 'KDYSCYEV', '+48 433656302'
'JIOMZGI', 'JOPZKADN', '+48 076379633'
'GANJNTB', 'XWSVXDEC', '+48 817313348'
'EJLPE', 'ADWMJGGY', '+48 577773556'
'ZBIQRBW', 'TFIYSKB', '+48 481041137'
'WSBJ', 'BAVIWCPZ', '+48 481060766'
'DQKPUV', 'UUJEJXN', '+48 452020766'
'GRBC', 'RCOMWPP', '+48 971016560'
